,ID,No. Filters,Filter Width,Filter Area,No. Dense,Total Params,Accuracy (%),Storage Use (b),Memory Use (b),Feat. Calc. Time (s),Inference Time (s),Total Time (s),Power Consumption (mW),True Power Consumption (mW)
Raw-Only,,,,,,,,,,,,,,
,R1,2,2,4,8,600,81.18,189872,153560,,6,6,696,244
,R2,4,2,4,16,2218,89.09,191568,153560,,9,9,696,244
,R3,8,3,9,32,8574,91.86,198080,153560,,14,14,720,268
,R4,16,4,16,64,33622,93.69,223448,153560,,28,28,696,244
,R5,32,6,36,128,133158,92.74,323624,153560,,57,57,710.2040816,258.2040816
,R6,64,8,64,256,529222,95.34,720968,153560,,131,131,720,268
,R7,128,11,121,512,2109318,93.81,983040,153560,,,,,
,R8,256,16,256,1024,8420614,93.51,983040,153560,,,,,
Feature-Only,,,,,,,,,,,,,,
,F1,-,-,-,8,382,65.72,187600,152784,20,2,22,698.8235294,246.8235294
,F2,-,-,-,16,758,69.38,188000,152784,21,2,23,715.6626506,263.6626506
,F3,-,-,-,32,1510,70.21,188800,152784,20,3,23,696.7741935,244.7741935
,F4,-,-,-,64,3014,74.87,190400,152784,21,3,24,701.6949153,249.6949153
,F5,-,-,-,128,6022,72.21,193600,152784,20,3,23,708.1967213,256.1967213
,F6,-,-,-,256,12038,72.74,200000,152784,20,5,25,706.7484663,254.7484663
,F7,-,-,-,512,24070,72.63,212800,152784,20,5,25,720,268
,F8,-,-,-,1024,48134,70.56,238400,152784,20,5,25,691.2,239.2
Feature Augmentation,,,,,,,,,,,,,,
,A1,2,2,4,8,920,87.85,194328,153560,22,7,29,704.3478261,252.3478261
,A2,4,2,4,16,2858,88.55,196344,153560,21,9,30,681.8181818,229.8181818
,A3,8,3,9,32,9854,93.16,203504,153560,15,20,35,692.3076923,240.3076923
,A4,16,4,16,64,36182,92.15,230152,153560,21,27,48,698.5074627,246.5074627
,A5,32,6,36,128,138278,93.1,332888,153560,21,67,88,685.7142857,233.7142857
,A6,64,8,64,256,539462,93.21,735288,153560,21,161,182,698.8235294,246.8235294
,A7,128,11,121,512,2129798,93.21,983040,,,,,,
,A8,256,16,256,1024,8461574,92.57,983040,,,,,,
,,,,,,,,,,,,,,
Feature Augmentation B (Small  Conv),AB1,2,2,4,8,920,86.97,194328,153560,21,7,28,696.7741935,244.7741935
,AB2,2,3,9,16,1820,83.07,195256,153560,21,7,28,694.7368421,242.7368421
,AB3,2,3,9,32,3596,88.44,197080,153560,20,7,27,704.7619048,252.7619048
,AB4,8,3,9,64,19646,92.57,213392,153560,20,18,38,695.4545455,243.4545455
,AB5,8,3,9,128,39038,93.16,232976,153560,21,21,42,698.6842105,246.6842105
,AB6,8,3,9,256,77822,92.39,272144,153560,20,24,44,706.2200957,254.2200957
,AB7,16,3,9,512,155390,92.27,350480,153560,21,33,54,702.4390244,250.4390244
,AB8,16,3,9,1024,310526,92.8,507152,153560,20,49,69,697.6744186,245.6744186
,,,,,,,,,,,,,,
Raw B (Small Conv),,,,,,,,,,,,,,
,AB1,2,2,4,8,600,81.18,189872,153560,,6,6,696,244
,AB2,2,3,9,16,1180,90.56,190472,153248,,6,6,664.6153846,212.6153846
,AB3,2,3,9,32,2316,89.32,191656,153248,,7,7,694.7368421,242.7368421
,AB4,8,3,9,64,16990,91.74,206592,153248,,16,16,710.9375,258.9375
,AB5,8,3,9,128,33822,93.09,223616,153248,,16,16,690,238
,AB6,8,3,9,256,67486,93.09,257664,153248,,21,21,668.5714286,216.5714286
,AB7,16,3,9,512,134814,91.85,325760,153248,,27,27,720,268
,AB8,16,3,9,1024,269470,90.73,461952,153248,,39,39,607.7922078,155.7922078
,,,,,,,,,,,,,,
,,,,,,,,983040,262144,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
